Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bolivia,BOL,1007.002869,958.2366524,913.5756423,917.3643105,978.3346485,1046.427384,1233.594435,1389.634888,1736.935051,1776.866476,1981.160705,2377.675918,2645.227753,2947.938526,3124.00031,3077.026199,3104.956089,3393.955818
Brazil,BRA,3739.119036,3146.950177,2819.649531,3059.587582,3623.047667,4770.182746,5860.145975,7313.557962,8787.610375,8553.38047,11224.15408,13167.47289,12291.46685,12216.90446,12026.61731,8757.206202,8649.948492,9812.278531
Barbados,BRB,11568.11011,11513.87189,11675.39395,12028.50447,12868.86309,14223.86576,15646.05591,16462.48556,16570.32028,16523.32388,15905.91232,15534.15704,15384.8749,15472.7814,15359.66971,15557.83081,16096.89259,16356.98011
Brunei Darussalam,BRN,18008.44826,16468.12886,16846.02198,18555.56649,21896.60527,26102.13345,30980.96692,32672.36717,37951.2806,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41590.86502,30967.89051,26938.50338,28290.5852
Bhutan,BTN,765.8632358,807.9387673,885.6382245,997.7417141,1097.457088,1247.061392,1335.456906,1741.142552,1795.181307,1770.234497,2178.921383,2458.045976,2422.008016,2350.882889,2522.796008,2613.645177,2804.000223,3130.233543
Botswana,BWA,3349.068823,3128.097793,3055.618382,4163.065906,4896.583835,5351.253732,5374.554867,5714.047937,5623.379566,5185.729845,6346.156204,7645.214609,7029.231453,7007.625783,7497.762376,6532.060501,6788.042745,7595.611141
Central African Republic,CAF,243.5429317,243.1586486,253.7068343,286.2508019,313.210598,327.1149461,347.6073678,397.1480467,456.8614334,449.9601839,446.4434494,494.3306779,486.410114,337.4849614,377.1320274,348.381417,382.2131743,418.411287
Canada,CAN,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52413.72116,50440.43376,43315.70044,42157.92799,44870.77616
Central Europe and the Baltics,CEB,3943.987822,4342.857257,4922.109778,5941.171573,7161.448082,8342.436299,9461.098659,11951.68715,14489.15052,12197.87382,12556.93917,13882.73542,12996.3408,13704.56665,14125.86185,12411.07162,12657.3868,14176.86571
Switzerland,CHE,37813.23426,38538.64447,41336.72192,47960.56497,53255.97631,54797.54663,57348.92788,63223.46778,72119.56087,69672.00471,74276.71842,87998.44468,83164.38795,84658.88768,85814.58857,80989.84024,78812.65069,80342.84634
Channel Islands,CHI,43299.40114,41610.13058,44159.21077,48226.39668,55844.11669,57210.73229,62261.82801,73569.64496,,,,,,,,,,
Chile,CHL,5101.368479,4595.666327,4463.545867,4787.699532,6210.828325,7615.30468,9484.681227,10526.87746,10781.36608,10243.32824,12860.17764,14705.69242,15431.90293,15941.39722,14817.37778,13653.2264,13792.92605,15346.4497
China,CHN,959.3721081,1053.108024,1148.508057,1288.642924,1508.668462,1753.4178,2099.229676,2695.366223,3471.247547,3838.434292,4560.512487,5633.796106,6337.882993,7077.770594,7683.502038,8069.211938,8123.180873,8826.994096
Cote d'Ivoire,CIV,642.254714,656.834565,710.9611683,865.789649,919.8068028,931.754287,951.9478956,1065.896375,1242.431044,1217.749206,1219.749096,1214.703946,1262.480218,1423.682282,1569.928275,1420.626884,1526.197175,1537.504031
Cameroon,CMR,608.0414399,614.6729339,676.3976061,824.8689393,930.2011716,952.1872484,1002.989164,1110.701186,1233.524316,1203.195308,1182.869227,1295.649726,1255.648189,1365.34419,1441.140107,1244.429421,1032.648722,1451.865747
"Congo, Dem. Rep.",COD,405.4696531,153.6995733,175.1360715,173.9163518,194.1667863,218.5235092,252.8430454,280.1217437,318.1201341,292.6284114,318.0757516,357.4834938,398.1406948,420.87049,461.5680853,474.9360481,444.5053168,462.7795441
"Congo, Rep.",COG,998.1968921,842.7090677,886.3616653,998.1013117,1289.337837,1637.064381,2012.11007,2111.209489,2881.594292,2255.332879,2737.342365,3196.647534,2952.052348,2964.573152,2910.520153,1712.121131,1528.24483,1654.010322
Colombia,COL,2472.197831,2395.856551,2355.725857,2246.257472,2740.249442,3386.0256,3709.078776,4674.21961,5433.72045,5148.422113,6250.655044,7227.73968,7884.984429,8030.58603,7913.383432,6044.525556,5805.605335,6408.920012
Comoros,COM,375.8528566,395.9319363,433.2691451,544.5066526,616.4197236,621.9033702,648.3008717,720.7593013,795.9705019,778.5454199,769.1742883,829.7586885,788.632653,834.3410949,852.9543079,727.6463868,775.0800847,1312.333925
